timestamp,a,b,membranePot
24464.41179,,,6
24465.41252,,,7
24466.61539,,,9
24467.61578,,,10
24468.53989,,,12
24469.54081,,,13
24470.02422,,,15
24470.54542,,,16
24471.02517,,,-84
24472.53458,,,0
24473.53546,,,1
24474.17513,,,3
24475.17591,,,4
24476.20296,,,6
24477.20353,,,7
24478.25645,,,9
24479.2568,,,10
24480.75977,,,12
24481.76039,,,13
24482.15113,,,15
24482.76556,,,16
24483.15208,,,-84
24484.77094,,,0
24485.77173,,,1
24486.08679,,,3
24487.08737,,,4
24488.42971,,,6
24489.43052,,,7
24490.91661,,,9
24491.91674,,,10
24492.58239,,,12
24493.58307,,,13
24494.56895,,,15
24494.58754,,,16
24495.5691,,,-84
24496.68193,,,0
24497.68246,,,1
24498.72658,,,3
24499.72757,,,4
24500.7927,,,6
24501.79322,,,7
24502.69371,,,9
24503.69457,,,10
24504.32212,,,12
24505.32288,,,13
24506.32782,,,15
24506.59393,,,-85
24507.32812,,,-84
24508.59706,,,0
24509.59739,,,1
24510.63026,,,3
24511.63102,,,4
24512.15739,,,6
24513.1575,,,7
24514.74872,,,9
24515.7495,,,10
24516.50659,,,12
24517.50714,,,13
24518.5122,,,15
24518.54549,,,-85
24519.51251,,,-84
24520.25817,,,0
24521.25842,,,1
24522.33163,,,3
24523.33226,,,4
24524.23208,,,6
24525.23226,,,7
24526.12079,,,9
24527.12091,,,10
24528.91936,,,12
24529.91958,,,13
24530.04315,,,15
24530.92483,,,16
24531.04377,,,-84
24532.7047,,,0
24533.70504,,,1
24534.34234,,,3
24535.34285,,,4
24536.91662,,,6
24537.91669,,,7
24538.2664,,,9
24539.26706,,,10
24540.28024,,,12
24541.28112,,,13
24542.28468,,,15
24542.64686,,,-85
24543.28537,,,-84
24544.19734,,,0
24545.1982,,,1
24546.59351,,,3
24547.59377,,,4
24548.33845,,,6
24549.33871,,,7
24550.63905,,,9
24551.63963,,,10
24552.89871,,,12
24553.89932,,,13
24554.7922,,,15
24554.90319,,,16
24555.79234,,,-84
24556.66215,,,0
24557.66236,,,1
24558.07703,,,3
24559.07748,,,4
24560.4216,,,6
24561.4219,,,7
24562.81918,,,9
24563.81967,,,10
24564.918,,,12
24565.9182,,,13
24566.24284,,,15
24566.92441,,,16
24567.24376,,,-84
24568.13977,,,0
24569.14001,,,1
24570.88344,,,3
24571.88428,,,4
24572.17303,,,6
24573.17373,,,7
24574.02708,,,9
24575.02801,,,10
24576.11468,,,12
24577.11553,,,13
24578.1188,,,15
24578.33992,,,-85
24579.11908,,,-84
24580.0981,,,0
24581.09827,,,1
24582.29789,,,3
24583.29861,,,4
24584.65253,,,6
24585.65316,,,7
24586.29294,,,9
24587.29368,,,10
24588.34362,,,12
24589.34428,,,13
24590.15849,,,15
24590.34993,,,16
24591.15914,,,-84
24592.47673,,,0
24593.47699,,,1
24594.274,,,3
24595.27458,,,4
24596.53941,,,6
24597.54028,,,7
24598.70471,,,9
24599.70548,,,10
24600.30013,,,12
24601.3006,,,13
24602.30725,,,15
24602.37201,,,-85
24603.30745,,,-84
24604.92761,,,0
24605.92814,,,1
24606.49266,,,3
24607.49325,,,4
24608.40853,,,6
24609.40907,,,7
24610.40301,,,9
24611.40312,,,10
24612.11336,,,12
24613.11374,,,13
24614.1183,,,15
24614.64124,,,-85
24615.11911,,,-84
24616.16322,,,0
24617.16355,,,1
24618.84066,,,3
24619.8415,,,4
24620.41823,,,6
24621.41846,,,7
24622.35907,,,9
24623.35959,,,10
24624.38373,,,12
24625.38428,,,13
24626.39052,,,15
24626.93427,,,-85
24627.39071,,,-84
24628.01559,,,0
24629.01613,,,1
24630.24292,,,3
24631.24338,,,4
24632.9228,,,6
24633.92291,,,7
24634.01111,,,9
24635.01209,,,10
24636.07776,,,12
24637.07829,,,13
24638.08274,,,15
24638.48674,,,-85
24639.08275,,,-84
24640.17452,,,0
24641.17471,,,1
24642.55621,,,3
24643.55645,,,4
24644.37706,,,6
24645.37729,,,7
24646.3131,,,9
24647.31338,,,10
24648.12216,,,12
24649.12309,,,13
24650.12928,,,15
24650.19342,,,-85
24651.12982,,,-84
24652.08817,,,0
24653.08895,,,1
24654.56605,,,3
24655.56607,,,4
24656.46295,,,6
24657.46315,,,7
24658.14742,,,9
24659.14842,,,10
24660.51288,,,12
24661.51298,,,13
24662.09964,,,15
24662.5198,,,16
24663.10059,,,-84
24664.31545,,,0
24665.31577,,,1
24666.00331,,,3
24667.00336,,,4
24668.48418,,,6
24669.48425,,,7
24670.18873,,,9
24671.18952,,,10
24672.55413,,,12
24673.55458,,,13
24674.55905,,,15
24674.903,,,-85
24675.56005,,,-84
24676.77249,,,0
24677.77347,,,1
24678.49094,,,3
24679.49153,,,4
24680.34074,,,6
24681.34092,,,7
24682.23023,,,9
24683.23024,,,10
24684.62121,,,12
24685.62123,,,13
24686.09764,,,15
24686.6262,,,16
24687.09856,,,-84
24688.86415,,,0
24689.8646,,,1
24690.0675,,,3
24691.06849,,,4
24692.32514,,,6
24693.32517,,,7
24694.33178,,,9
24695.33271,,,10
24696.43988,,,12
24697.43994,,,13
24698.23529,,,15
24698.44461,,,16
24699.23546,,,-84
24700.79009,,,0
24701.79089,,,1
24702.21292,,,3
24703.21369,,,4
24704.95959,,,6
24705.96055,,,7
24706.88678,,,9
24707.88776,,,10
24708.12343,,,12
24709.12378,,,13
24710.13001,,,15
24710.70904,,,-85
24711.13095,,,-84
24712.95034,,,0
24713.95132,,,1
24714.45955,,,3
24715.45956,,,4
24716.5467,,,6
24717.54678,,,7
24718.61179,,,9
24719.61184,,,10
24720.0824,,,12
24721.08311,,,13
24722.08704,,,15
24722.68369,,,-85
24723.08711,,,-84
24724.6581,,,0
24725.65819,,,1
24726.92523,,,3
24727.9254,,,4
24728.21773,,,6
24729.21789,,,7
24730.51639,,,9
24731.51738,,,10
24732.19284,,,12
24733.19354,,,13
24734.19853,,,15
24734.21039,,,-85
24735.19865,,,-84
24736.91089,,,0
24737.91154,,,1
24738.13499,,,3
24739.13595,,,4
24740.78912,,,6
24741.78925,,,7
24742.36383,,,9
24743.36445,,,10
24744.79911,,,12
24745.79951,,,13
24746.41521,,,15
